"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.023220689E2,6.043438066E1,2.222746936E1,-6.789729685E0,1.679999948E0,2.745000000E2,9.935046196E0,2.500000000E0
2.033220581E2,6.043438039E1,2.222743690E1,-6.971540389E0,1.669999957E0,2.743999939E2,9.935046196E0,2.500000000E0
2.043226358E2,6.043437984E1,2.222740430E1,-6.636138980E0,1.679999948E0,2.735000000E2,9.935046196E0,2.500000000E0
2.053226181E2,6.043437856E1,2.222737352E1,-6.846575324E0,1.620000005E0,2.772000122E2,9.935046196E0,2.500000000E0
2.063223150E2,6.043437823E1,2.222733919E1,-6.925296876E0,1.659999967E0,2.745000000E2,9.935046196E0,2.500000000E0
2.073221747E2,6.043437616E1,2.222730741E1,-6.665395507E0,1.620000005E0,2.657999878E2,9.935046196E0,2.500000000E0
2.083219739E2,6.043437618E1,2.222727152E1,-7.490820718E0,1.799999952E0,2.737999878E2,9.935046196E0,2.500000000E0
2.093225229E2,6.043438005E1,2.222723828E1,-6.883265545E0,1.649999976E0,2.785000000E2,9.935046196E0,2.500000000E0
2.103222046E2,6.043438414E1,2.222720621E1,-6.625381359E0,1.759999990E0,2.771000061E2,9.935046196E0,2.500000000E0
2.113222670E2,6.043438673E1,2.222717519E1,-6.349125244E0,1.690000057E0,2.786000061E2,9.935046196E0,2.500000000E0
2.123222402E2,6.043438996E1,2.222714583E1,-6.709771970E0,1.570000052E0,2.862000122E2,9.935046196E0,2.500000000E0
2.133226574E2,6.043439288E1,2.222711461E1,-6.090315259E0,1.549999952E0,2.858999939E2,9.935046196E0,2.500000000E0
